,decile1b,decile3,id,decile1,sex,race,cluster,lsat,ugpa,zfygpa,dob_yr,grad,zgpa,bar1,bar1_yr,bar2,bar2_yr,fulltime,fam_inc,age,gender,parttime,male,race1,race2,dropout,other,asian,black,hisp,pass_bar,bar,tier,index604,indxgrp,indxgrp2
6283,5.0,3.0,6284,5.0,2,7,1,38,3.2,-0.04,68,Y,-0.62,P,7,P,94,1,5,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,762.105244,g 700+,h 760-820
6284,5.0,1.0,6285,5.0,2,7,3,40,3.4,-0.13,68,Y,-1.62,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,813.68419,g 700+,h 760-820
6285,,,6286,5.0,2,4,5,41,3.6,0.05,69,Y, ,P,7,P,94,1,2,-62,male,0,1,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,6,849.473663,g 700+,i 820+
6286,9.0,10.0,6287,9.0,2,7,1,39.5,3.3,1.25,67,Y,1.51,P,7,P,94,1,4,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,795.7894534999999,g 700+,h 760-820
6287,,,6288,10.0,2,6,5,38,3.5,2.29,69,Y, ,P,7,P,94,1,3,-62,male,0,1,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,6,792.105244,g 700+,h 760-820
6288,4.0,5.0,6289,5.0,2,7,5,45,3.7,-0.2,64,Y,-0.17,P,7,P,94,1,4,-57,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,922.6315549999999,g 700+,i 820+
6289,6.0,8.0,6290,6.0,2,2,4,44,3.6,0.08,67,Y,0.68,P,7,P,94,1,4,-60,male,0,1,asian,c other,NO,0,1,0,0,1,a Passed 1st time,5,896.842082,g 700+,i 820+
6290,4.0,1.0,6291,4.0,2,7,1,34.5,3,-0.4,62,Y,-1.46,, ,, ,1,4, ,male,0,1,white,b white,NO,0,0,0,0, ,d Never took bar,4,686.8420885,f 640-700,f 640-700
6291,7.0,8.0,6292,8.0,1,7,3,33,3.7,0.55,69,Y,0.56,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,733.157879,g 700+,g 700-760
6292,7.0,5.0,6293,7.0,2,7,3,32,2.3,0.48,63,Y,-0.1,P,7,P,95,2,5,-56,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,577.3684059999999,d 520-580,d 520-580
6293,4.0,3.0,6294,4.0,2,2,1,28,2.8,-0.42,65,Y,-0.82,, ,, ,1,1, ,male,0,1,asian,c other,NO,0,1,0,0, ,d Never took bar,4,564.210514,d 520-580,d 520-580
6294,5.0,8.0,6295,5.0,1,8,4,48,3.5,-0.03,66,Y,0.77,P,7,P,94,1,4,-59,female,0,0,other,c other,NO,1,0,0,0,1,a Passed 1st time,5,949.999974,g 700+,i 820+
6295,5.0,2.0,6296,5.0,1,7,3,35,3.2,-0.15,67,Y,-0.97,F,7,F,95,1, ,-60,female,0,0,white,b white,NO,0,0,0,0,0,c Failed,3,714.736825,g 700+,g 700-760
6296,3.0,1.0,6297,3.0,2,7,3,34,2.7,-0.6,67,Y,-1.34,P,7,P,94,1,4,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,648.947352,f 640-700,f 640-700
6297,8.0,8.0,6298,8.0,2,7,4,47,3.6,0.67,70,Y,0.61,P,7,P,94,1,4,-63,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,944.210501,g 700+,i 820+
6298,2.0,4.0,6299,2.0,1,7,3,37.5,3.5,-1.01,66,Y,-0.49,P,7,P,94,1,4,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,784.2105075,g 700+,h 760-820
6299,8.0,6.0,6300,9.0,2,7,4,48,3.3,0.86,69,Y,0.25,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,929.999974,g 700+,i 820+
6300,,,6301,,2,7,3,34,3, ,47,O, ,, ,, ,2,1, ,male,1,1,white,b white,YES,0,0,0,0, ,e non-Grad,3,678.9473519999999,f 640-700,f 640-700
6301,2.0,3.0,6302,2.0,2,7,3,30.5,2.5,-1.02,67,Y,-0.82,P,7,P,94,1,5,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,573.6841965,d 520-580,d 520-580
6302,9.0,10.0,6303,9.0,2,7,2,40,4,1.05,69,Y,1.34,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,873.68419,g 700+,i 820+
6303,,,6304,8.0,2,7,1,43,3.4,0.77,67,O, ,, ,, ,1,3, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,4,861.052609,g 700+,i 820+
6304,9.0,8.0,6305,9.0,2,2,1,42,3,1.02,69,Y,0.73,P,2,P,95,1,4,-67,male,0,1,asian,c other,NO,0,1,0,0,1,a Passed 1st time,4,805.263136,g 700+,h 760-820
6305,1.0,1.0,6306,1.0,1,7,3,22.5,2.7,-1.65,68,Y,-2.02,F,7,P,96,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,3,467.3684125,c 460-520,c 460-520
6306,6.0,5.0,6307,6.0,1,7,4,41,3.4,0.18,69,Y,-0.05,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,829.473663,g 700+,i 820+
6307,8.0,6.0,6308,8.0,1,7,1,42,2.8,0.63,66,Y,0.12,P,7,P,94,1,5,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,785.2631359999999,g 700+,h 760-820
6308,3.0,6.0,6309,3.0,2,7,3,37,3,-0.61,65,Y,0.03,P,7,P,94,1,4,-58,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,726.315771,g 700+,g 700-760
6309,2.0,3.0,6310,3.0,2,7,3,35,3.3,-0.7,68,Y,-0.59,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,724.736825,g 700+,g 700-760
6310,2.0,2.0,6311,3.0,2,7,2,35,3,-0.82,69,Y,-1.24,F,7,P,95,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,b Passed 2nd time,2,694.736825,f 640-700,f 640-700
6311,7.0,7.0,6312,7.0,1,7,3,27,3.3,0.39,69,Y,0.27,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,598.421041,e 580-640,e 580-640
6312,7.0,5.0,6313,8.0,1,7,3,29,2.5,0.55,60,Y,-0.15,P,7,P,94,1,4,-53,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,549.9999869999999,d 520-580,d 520-580
6313,,,6314,,1,7,1,29,3.3, ,57,O, ,, ,, ,1,3, ,female,0,0,white,b white,YES,0,0,0,0, ,e non-Grad,4,629.9999869999999,e 580-640,e 580-640
6314,9.0,8.0,6315,9.0,2,7,4,41,3.4,1,69,Y,0.68,P,7,P,94,1,5,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,829.473663,g 700+,i 820+
6315,8.0,8.0,6316,8.0,2,7,2,30,3.3,0.66,69,Y,0.72,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,645.78946,f 640-700,f 640-700
6316,,,6317,1.0,1,3,1,23,2.6,-2.76,69,O, ,, ,, ,1,1, ,female,0,0,black,a black,YES,0,0,1,0, ,e non-Grad,4,465.263149,c 460-520,c 460-520
6317,4.0,3.0,6318,5.0,2,7,1,38,2.5,-0.22,61,Y,-0.72,P,2,P,96,2,3,-59,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,692.105244,f 640-700,f 640-700
6318,9.0,2.0,6319,9.0,1,6,1,27,3,1,68,Y,-1.2,P,7,P,94,1,4,-61,female,0,0,hisp,c other,NO,0,0,0,0,1,a Passed 1st time,4,568.4210410000001,d 520-580,d 520-580
6319,9.0,9.0,6320,9.0,2,7,4,48,3.5,1.27,68,Y,1.13,P,7,P,94,1,5,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,949.999974,g 700+,i 820+
6320,1.0,2.0,6321,2.0,2,7,3,34,3,-1.11,68,Y,-1.25,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,678.9473519999999,f 640-700,f 640-700
6321,4.0,4.0,6322,4.0,2,7,3,39,2.8,-0.32,64,Y,-0.4,P,7,P,94,1,3,-57,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,737.8947169999999,g 700+,g 700-760
6322,1.0,7.0,6323,1.0,1,7,3,32,3.6,-1.36,51,Y,0.44,P,2,P,95,1,4,-49,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,707.368406,g 700+,g 700-760
6323,5.0,5.0,6324,6.0,1,7,3,37,3.3,0,64,Y,-0.17,P,7,P,94,1,3,-57,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,756.3157709999999,g 700+,g 700-760
6324,,,6325,,2,7,5,42,2.9, ,67,Y, ,P,7,P,94,1,3,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,795.2631359999999,g 700+,h 760-820
6325,3.0,2.0,6326,3.0,1,7,1,44,3.3,-0.57,69,Y,-1.01,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,866.842082,g 700+,i 820+
6326,9.0,10.0,6327,9.0,1,7,1,37,3.4,1.22,59,Y,1.38,P,7,P,94,1,3,-52,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,766.3157709999999,g 700+,h 760-820
6327,6.0,5.0,6328,6.0,1,7,3,29,3.8,0.24,66,Y,-0.21,P,7,P,94,1,2,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,679.9999869999999,f 640-700,f 640-700
6328,,,6329,1.0,1,1,3,33,3,-2.17,69,O, ,, ,, ,1,3, ,female,0,0,other,c other,YES,1,0,0,1, ,e non-Grad,3,663.157879,f 640-700,f 640-700
6329,1.0,1.0,6330,1.0,2,7,4,37,2.9,-1.95,67,Y,-1.44,P,7,P,95,2,3,-60,male,1,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,716.3157709999999,g 700+,g 700-760
6330,,,6331,,2,7, ,29,2.5,-0.73,66,O, ,, ,, ,2,4, ,male,1,1,white,b white,YES,0,0,0,0, ,e non-Grad, ,549.9999869999999,d 520-580,d 520-580
6331,,,6332,,2,7,2,32,3, ,63,O, ,, ,, ,1,2, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,2,647.368406,f 640-700,f 640-700
6332,7.0,10.0,6333,7.0,2,7,2,34,2.9,0.29,69,Y,1.36,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,668.9473519999999,f 640-700,f 640-700
6333,3.0,5.0,6334,4.0,1,7,3,39,3.6,-0.44,61,Y,-0.26,P,7,P,94,1,3,-54,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,817.894717,g 700+,h 760-820
6334,5.0,4.0,6335,5.0,2,7,1,42,3.3,-0.11,68,Y,-0.46,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,835.2631359999999,g 700+,i 820+
6335,3.0,2.0,6336,3.0,1,1,1,31,3.6,-0.58,68,Y,-0.95,P,7,P,94,1,4,-61,female,0,0,other,c other,NO,1,0,0,1,1,a Passed 1st time,4,691.578933,f 640-700,f 640-700
6336,,,6337,,2,7,2,33,3.4, ,62,Y, ,, ,, ,1,3, ,male,0,1,white,b white,NO,0,0,0,0, ,d Never took bar,2,703.157879,g 700+,g 700-760
6337,2.0,2.0,6338,2.0,1,7,1,41,3.8,-1.13,69,Y,-1.29,F,7,P,95,1, ,-62,female,0,0,white,b white,NO,0,0,0,0,1,b Passed 2nd time,4,869.473663,g 700+,i 820+
6338,2.0,4.0,6339,3.0,1,7,3,42,3.3,-0.84,70,Y,-0.49,P,7,P,94,1,3,-63,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,835.2631359999999,g 700+,i 820+
6339,,,6340,,1,7,5,47,3.8, ,69,Y,0,P,7,P,95,1,5,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,964.210501,g 700+,i 820+
6340,6.0,6.0,6341,6.0,1,7,1,36,3.7,0.23,69,Y,0.23,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,780.526298,g 700+,h 760-820
6341,8.0,9.0,6342,8.0,1,7,1,43,3.7,0.76,68,Y,0.97,P,7,P,94,1,4,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,891.052609,g 700+,i 820+
6342,10.0,10.0,6343,10.0,1,7,1,44,3.3,1.64,67,Y,1.91,P,7,P,94,1,4,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,866.842082,g 700+,i 820+
6343,8.0,8.0,6344,8.0,1,1,6,35,3.3,0.73,68,Y,0.52,P,7,P,94,1,4,-61,female,0,0,other,c other,NO,1,0,0,1,1,a Passed 1st time,1,724.736825,g 700+,g 700-760
6344,5.0,8.0,6345,5.0,2,7,4,33,3.6,-0.01,68,Y,0.59,P,7,P,94,1,3,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,723.157879,g 700+,g 700-760
6345,1.0,1.0,6346,1.0,2,2,1,37,2.9,-1.45,68,Y,-1.55,F,7,F,94,1,3,-61,male,0,1,asian,c other,NO,0,1,0,0,0,c Failed,4,716.3157709999999,g 700+,g 700-760
6346,1.0,1.0,6347,1.0,2,3,1,28.3,2.4,-2.18,67,Y,-1.93,F,2,F,94,1,1,-65,male,0,1,black,a black,NO,0,0,1,0,0,c Failed,4,528.9473558999999,d 520-580,d 520-580
6347,9.0,10.0,6348,9.0,2,7,1,37,3.4,1.25,69,Y,1.53,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,766.3157709999999,g 700+,h 760-820
6348,9.0,8.0,6349,10.0,1,7,1,36,3.7,1.3,69,Y,0.66,P,7,P,94,1,2,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,780.526298,g 700+,h 760-820
6349,1.0,3.0,6350,1.0,2,7,1,40,2.9,-1.5,66,Y,-0.84,, ,, ,1,2, ,male,0,1,white,b white,NO,0,0,0,0, ,d Never took bar,4,763.68419,g 700+,h 760-820
6350,5.0,6.0,6351,5.0,1,7,3,36,2.7,-0.07,65,Y,0.05,P,6,P,94,1,4,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,680.526298,f 640-700,f 640-700
6351,9.0,8.0,6352,9.0,1,7,3,37,3,0.89,69,Y,0.55,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,726.315771,g 700+,g 700-760
6352,9.0,10.0,6353,9.0,2,7,4,41,3.7,1.14,69,Y,1.3,P,7,P,95,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,859.473663,g 700+,i 820+
6353,6.0,5.0,6354,7.0,1,2,2,27,2.9,0.28,60,Y,-0.06,P,2,P,95,1,3,-58,female,0,0,asian,c other,NO,0,1,0,0,1,a Passed 1st time,2,558.421041,d 520-580,d 520-580
6354,,,6355,,2,7,5,41.5,3.3, ,60,Y, ,P,7,P,94,1,3,-53,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,827.3683994999999,g 700+,i 820+
6355,9.0,9.0,6356,9.0,1,7,5,44,3.8,1.08,67,Y,1.16,P,7,P,94,1,2,-60,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,916.842082,g 700+,i 820+
6356,9.0,9.0,6357,9.0,2,7,1,39,2.9,1.19,69,Y,0.92,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,747.8947169999999,g 700+,g 700-760
6357,10.0,8.0,6358,10.0,1,7,4,34.5,2.5,1.3,69,Y,0.68,P,7,P,94,1,5,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,636.8420885,e 580-640,e 580-640
6358,6.0,5.0,6359,6.0,2,7,3,42,2.8,0.13,68,Y,-0.2,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,785.2631359999999,g 700+,h 760-820
6359,7.0,7.0,6360,7.0,2,7,3,34,3.6,0.47,63,Y,0.47,P,2,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,738.947352,g 700+,g 700-760
6360,5.0,6.0,6361,5.0,1,7,4,34,3,-0.07,66,Y,0.03,P,7,P,94,1,5,-59,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,678.9473519999999,f 640-700,f 640-700
6361,1.0,1.0,6362,1.0,2,7,3,36,2.9,-1.47,58,Y,-1.87,P,7,P,94,1,1,-51,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,700.526298,g 700+,g 700-760
6362,2.0,1.0,6363,2.0,1,3,1,30,3.3,-0.92,70,Y,-1.42,F,7,P,95,1,4,-63,female,0,0,black,a black,NO,0,0,1,0,1,b Passed 2nd time,4,645.78946,f 640-700,f 640-700
6363,,,6364,,1,7,1,35,3.8, ,68,Y, ,F,7,F,94,1,3,-61,female,0,0,white,b white,NO,0,0,0,0,0,c Failed,4,774.736825,g 700+,h 760-820
6364,2.0,1.0,6365,2.0,2,7,1,37,3.7,-0.98,61,Y,-1.46,P,2,P,95,1,4,-59,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,796.315771,g 700+,h 760-820
6365,9.0,7.0,6366,9.0,1,7,5,39,3.9,1.14,66,Y,0.37,P,7,P,94,2, ,-59,female,1,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,847.8947169999999,g 700+,i 820+
6366,7.0,9.0,6367,7.0,2,7,3,39,3.3,0.46,65,Y,0.87,P,7,P,94,1,3,-58,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,787.8947169999999,g 700+,h 760-820
6367,6.0,4.0,6368,7.0,2,7,3,41,2.9,0.25,69,Y,-0.34,P,2,P,95,1,4,-67,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,779.473663,g 700+,h 760-820
6368,9.0,10.0,6369,9.0,2,7,4,47,3.5,0.99,69,Y,1.39,P,7,P,94,1,4,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,934.210501,g 700+,i 820+
6369,8.0,6.0,6370,8.0,2,7,3,37,3,0.62,68,Y,0.19,P,7,P,94,1,3,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,726.315771,g 700+,g 700-760
6370,,,6371,6.0,2,7,5,40.5,3.6,0.11,67,Y, ,P,7,P,94,1,5,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,6,841.5789265,g 700+,i 820+
6371,5.0,6.0,6372,6.0,2,7,3,37,3.3,0.03,65,Y,0.01,P,7,P,94,1,3,-58,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,756.3157709999999,g 700+,g 700-760
6372,9.0,9.0,6373,9.0,2,7,3,40,2,1.2,63,Y,0.91,P,7,P,94,1,5,-56,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,673.68419,f 640-700,f 640-700
6373,,,6374,1.0,1,3,4,28,3,-1.46,69,Y, ,P,2,P,96,1,4,-67,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,5,584.210514,e 580-640,e 580-640
6374,9.0,10.0,6375,9.0,1,7,4,37,3.7,0.92,68,Y,1.37,, ,, ,1,3, ,female,0,0,white,b white,NO,0,0,0,0, ,d Never took bar,5,796.315771,g 700+,h 760-820
6375,9.0,10.0,6376,9.0,1,3,6,24,3.7,0.92,70,Y,1.77,P,7,P,94,1,4,-63,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,1,591.052622,e 580-640,e 580-640
6376,2.0,1.0,6377,3.0,2,7,3,42,2.7,-0.81,61,Y,-1.37,P,7,P,94,1,3,-54,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,775.263136,g 700+,h 760-820
6377,8.0,10.0,6378,8.0,2,7,3,35,2.7,0.82,66,Y,1.44,P,7,P,94,1,5,-59,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,664.736825,f 640-700,f 640-700
6378,8.0,9.0,6379,8.0,2,7,1,43,3.2,0.77,66,Y,1.22,P,7,P,94,1,4,-59,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,841.052609,g 700+,i 820+
6379,10.0,10.0,6380,10.0,1,7,3,43,3,1.42,63,Y,1.36,P,7,P,94,1,3,-56,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,821.052609,g 700+,i 820+
6380,3.0,2.0,6381,3.0,1,7,1,36,3.7,-0.64,69,Y,-1.09,P,7,P,94,1,3,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,780.526298,g 700+,h 760-820
6381,10.0,10.0,6382,10.0,2,7,1,42,3.3,1.98,62,Y,1.93,P,7,P,94,1,1,-55,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,835.2631359999999,g 700+,i 820+
6382,3.0,4.0,6383,4.0,1,7,3,32,3.3,-0.47,61,Y,-0.37,P,7,P,94,1,4,-54,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,677.3684059999999,f 640-700,f 640-700
6383,5.0,5.0,6384,5.0,2,7,1,38,3.7,0.01,68,Y,-0.21,P,2,P,95,1,2,-66,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,812.105244,g 700+,h 760-820
6384,10.0,10.0,6385,10.0,2,7,1,39,3.1,1.84,63,Y,2.12,P,7,P,94,1,5,-56,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,767.894717,g 700+,h 760-820
6385,4.0,6.0,6386,5.0,2,7,3,36,3.1,-0.19,68,Y,0.11,P,7,P,94,1,3,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,720.526298,g 700+,g 700-760
6386,7.0,7.0,6387,7.0,1,7,3,33,3.4,0.41,68,Y,0.37,P,7,P,94,1,3,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,703.157879,g 700+,g 700-760
6387,7.0,3.0,6388,7.0,2,7,1,38,3.9,0.35,59,Y,-0.75,P,7,P,94,1,1,-52,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,832.105244,g 700+,i 820+
6388,9.0,10.0,6389,9.0,2,7,4,43,3.7,1.06,69,Y,1.42,P,7,P,94,1,5,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,5,891.052609,g 700+,i 820+
6389,8.0,9.0,6390,8.0,1,7,3,34,3.5,0.82,69,Y,1.13,P,7,P,94,1,4,-62,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,728.9473519999999,g 700+,g 700-760
6390,,,6391,,2,7,3,36,3.3, ,69,O, ,, ,, ,1,5, ,male,0,1,white,b white,YES,0,0,0,0, ,e non-Grad,3,740.526298,g 700+,g 700-760
6391,1.0,1.0,6392,1.0,2,7,3,36,2.4,-1.57,68,Y,-1.91,P,7,P,95,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,650.526298,f 640-700,f 640-700
6392,9.0,8.0,6393,9.0,1,7,3,41,2.4,0.97,62,Y,0.63,P,7,P,94,1,4,-55,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,729.473663,g 700+,g 700-760
6393,,,6394,,1,7,3,40,3.2, ,69,O, ,, ,, ,1,5, ,female,0,0,white,b white,YES,0,0,0,0, ,e non-Grad,3,793.6841900000001,g 700+,h 760-820
6394,6.0,10.0,6395,6.0,2,7,3,34,3.8,0.14,69,Y,1.41,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,758.9473519999999,g 700+,g 700-760
6395,9.0,9.0,6396,9.0,2,7,3,40,3.1,0.91,64,Y,0.94,P,7,P,94,1,3,-57,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,783.6841900000001,g 700+,h 760-820
6396,2.0,1.0,6397,2.0,2,7,3,35,2.9,-1.01,69,Y,-2.09,P,2,P,94,1,3,-67,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,684.736825,f 640-700,f 640-700
6397,7.0,6.0,6398,7.0,2,7,3,39,3.2,0.35,69,Y,0.06,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,777.894717,g 700+,h 760-820
6398,,,6399,1.0,1,7,3,34,3.1,-1.56,66,O, ,, ,, ,2,4, ,female,1,0,white,b white,YES,0,0,0,0, ,e non-Grad,3,688.947352,f 640-700,f 640-700
6399,10.0,9.0,6400,10.0,2,7,1,38,3.1,1.53,63,Y,1.14,P,7,P,94,1,3,-56,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,752.105244,g 700+,g 700-760
6400,2.0,1.0,6401,2.0,1,3,3,23.5,3.4,-0.85,67,Y,-1.4,F,7,F,94,1,3,-60,female,0,0,black,a black,NO,0,0,1,0,0,c Failed,3,553.1578855,d 520-580,d 520-580
6401,9.0,10.0,6402,9.0,2,7,2,32.5,3.5,1.11,67,Y,1.57,P,7,P,94,1,4,-60,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,705.2631425,g 700+,g 700-760
6402,,,6403,,1,7,1,41,3.5, ,68,O, ,, ,, ,1,4, ,female,0,0,white,b white,YES,0,0,0,0, ,e non-Grad,4,839.473663,g 700+,i 820+
6403,9.0,10.0,6404,9.0,1,3,3,30,3.2,1.17,63,Y,1.5,P,7,P,94,1,2,-56,female,0,0,black,a black,NO,0,0,1,0,1,a Passed 1st time,3,635.78946,e 580-640,e 580-640
6404,9.0,9.0,6405,9.0,1,7,1,43,3.7,1.26,68,Y,1.28,P,7,P,94,1,5,-61,female,0,0,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,891.052609,g 700+,i 820+
6405,,,6406,,2,7,1,39,3.4, ,68,Y, ,P,7,P,94,1,4,-61,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,797.8947169999999,g 700+,h 760-820
6406,4.0,1.0,6407,4.0,2,5,3,21,3.4,-0.27,62,Y,-2.12,F,2,F,95,1,3,-60,male,0,1,hisp,c other,NO,0,0,0,0,0,c Failed,3,513.684203,c 460-520,c 460-520
6407,4.0,3.0,6408,5.0,1,2,3,39,3.2,-0.23,69,Y,-0.58,P,7,P,94,1,4,-62,female,0,0,asian,c other,NO,0,1,0,0,1,a Passed 1st time,3,777.894717,g 700+,h 760-820
6408,6.0,4.0,6409,7.0,2,7,3,34.5,2.9,0.26,68,Y,-0.46,P,2,P,94,1,4,-66,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,3,676.8420884999999,f 640-700,f 640-700
6409,8.0,5.0,6410,8.0,2,7,2,38,2.5,0.62,61,Y,-0.08,P,7,P,94,1,3,-54,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,2,692.105244,f 640-700,f 640-700
6410,7.0,7.0,6411,7.0,2,7,1,43,3.7,0.37,69,Y,0.42,P,7,P,94,1,3,-62,male,0,1,white,b white,NO,0,0,0,0,1,a Passed 1st time,4,891.052609,g 700+,i 820+
